place,passing,jockey,up,borderNum,weight,popularity,topHourseNmae,basisWeigh,horseNum,distance,raceTitle,date,R,headCount,topDiff,weather,fieldCondition,money,order,name,time,rap,odds
3中山4,7-8-4-4,福永祐一,38.1,8,528(-2),1,(ロードクルセイダー),56,14,ダ1800,伏竜S(OP),2013/03/31,10,15,0.0,曇,良,"1,835.7",1,コパノリッキー ,1:53.6,37.3-38.4,2.8
1東京8,3-3,福永祐一,38.1,4,530(+8),1,チャーリーブレイヴ,56,7,ダ1600,ヒヤシンスS(OP),2013/02/17,9,16,0.2,晴,良,455.3,3,コパノリッキー ,1:36.8,34.0-38.3,2.2
1東京2,2-2,ルメール,36.2,7,522(0),1,(サウンドトゥルー),56,12,ダ1400,3歳500万下,2013/01/27,6,14,-0.9,晴,良,700.0,1,コパノリッキー ,1:25.5,36.2-36.3,1.9
1京都3,2-2-2-2,川須栄彦,36.7,7,522(+2),8,(ダイナミックウオー),56,14,ダ1800,3歳未勝利,2013/01/12,1,16,-0.8,晴,良,500.0,1,コパノリッキー ,1:52.4,37.5-36.8,35.9
,,,,,,,,,,,,,,,,,,,,ロンドンタウン ,,,
4中京2,5-4-3-4,岩田康誠,37.8,4,518(+3),7,ゴールドドリーム,57,7,ダ1800,チャンピオンズC(G1),2017/12/03,11,15,1.8,晴,良, ,15,ロンドンタウン ,1:51.9,36.2-36.2,12.0
韓国, ,岩田康誠, , ,計不,2,,57,11,ダ1800,コリアC(G1),2017/09/10, ,11, , ,良, ,1,ロンドンタウン ,1:50.7, , 
1札幌6,4-4-3-3,岩田康誠,35.6,2,510(-14),4,(テイエムジンソク),57,2,ダ1700,エルムS(G3),2017/08/13,11,14,-0.1,曇,重,"3,649.7",1,ロンドンタウン ,1:40.9,29.2-35.9,12.2
3京都9,6-7-7-5,松山弘平,38.9,6,524(+8),5,グレイトパール,57,11,ダ1900,平安S(G3),2017/05/20,11,16,2.1,晴,良, ,12,ロンドンタウン ,1:57.8,28.6-38.0,14.7
2阪神7,8-7-8-8,川田将雅,36.4,2,516(+2),6,モルトベーネ,57,4,ダ1800,アンタレスS(G3),2017/04/15,11,16,0.3,晴,良,"1,416.0",2,ロンドンタウン ,1:50.2,36.3-36.6,13.5
3中山2,5-5-4-5,柴山雄一,38.7,6,514(-2),3,インカンテーション,57,12,ダ1800,マーチS(G3),2017/03/26,11,16,0.3,小雨,稍,540.0,4,ロンドンタウン ,1:52.3,36.6-38.6,5.8
佐賀,2-2-2-1,川田将雅,37.0,6,516(0),1,(タムロミラクル),55,6,ダ2000,佐賀記念(G3),2017/02/07,10,11,-0.7,曇,不,"2,300.0",1,ロンドンタウン ,2:06.7, ,2.9
1中京4,10-10-11-12,国分恭介,36.8,7,516(+10),8,グレンツェント,55,13,ダ1800,東海テレビ杯東海S(G2),2017/01/22,11,16,0.4,曇,良, ,7,ロンドンタウン ,1:53.6,38.1-37.1,37.8
5東京3,7-5,松岡正海,35.9,1,506(-6),11,タガノトネール,55,2,ダ1600,東京中日S杯武蔵野S(G3),2016/11/12,11,16,1.0,晴,重, ,8,ロンドンタウン ,1:34.8,34.5-35.5,67.9
4中山8,8-7-9-7,川田将雅,37.6,1,512(+2),2,(センチュリオン),53,2,ダ1800,内房S(1600万下),2016/10/02,12,16,-0.3,晴,良,"1,853.6",1,ロンドンタウン ,1:51.8,36.4-38.7,5.6
2小倉12,7-7-8-4,川田将雅,37.6,5,510(-2),1,(コスモピーコック),54,9,ダ1700,西日本スポーツ杯(1000万下),2016/09/04,10,16,-0.8,曇,良,"1,535.7",1,ロンドンタウン ,1:45.5,30.0-38.3,1.8
